#separator:tab
#html:true
#tags column:3
What is the Topological Sort problem?	Given a directed acyclic graph, or DAG, the Topological Sort problem asks for an ordering of the vertices such that for every edge \[u \to v,\] vertex \(u\) appears before vertex \(v\).	cs630 graphs topological_sort
Why does topological sort help evaluate Boolean circuits?	A Boolean circuit is a DAG. If we topologically sort the circuit graph, then every gate appears after its input gates. Therefore, we can evaluate the circuit in one pass through the topological order.	cs630 reductions circuit_value topological_sort
How can Circuit Value be reduced to Topological Sort?	Given a Boolean circuit:<br><ol><li>Represent it as a DAG.</li><li>Perform a topological sort.</li><li>Evaluate gates in topological order.</li></ol>Thus, \[\textsc{Circuit Value} \le_P \textsc{Topological Sort}.\]	cs630 reductions circuit_value topological_sort
What is cosine similarity?	For nonzero vectors \(u\) and \(v\), cosine similarity is \[\cos \theta = \frac{u \cdot v}{\|u\|\|v\|},\] where \(\theta\) is the angle between \(u\) and \(v\).	cs630 reductions cosine_similarity definitions
What does a high cosine similarity mean?	A high cosine similarity means that two vectors point in similar directions. The maximum value is \(\cos\theta = 1\), which occurs when \(\theta = 0\).	cs630 reductions cosine_similarity
How is cosine similarity used in information retrieval?	Documents can be represented as feature vectors. Cosine similarity is then used to compare document vectors: \[\text{higher cosine similarity} \Rightarrow \text{more similar documents}.\]	cs630 reductions cosine_similarity information_retrieval
How can cosine similarity search be reduced to nearest neighbor search?	Normalize all vectors to have unit length. Then finding the vector with maximum cosine similarity to a query vector \(v\) is equivalent to finding the nearest neighbor to the normalized query vector.	cs630 reductions cosine_similarity nearest_neighbors
Why does normalization connect cosine similarity and nearest neighbor search?	If \(u\) and \(v\) are unit vectors, then \[\|u-v\|^2 = \|u\|^2+\|v\|^2-2u\cdot v = 2-2u\cdot v.\] Since \(u\cdot v=\cos\theta\) for unit vectors, minimizing distance is equivalent to maximizing cosine similarity.	cs630 reductions cosine_similarity nearest_neighbors
State the reduction from cosine similarity search to nearest neighbor search.	After normalizing all vectors to unit length, \[\textsc{Cosine Similarity Search} \le_P \textsc{Nearest Neighbor Search}.\] The closest vector in Euclidean distance is the vector with highest cosine similarity.	cs630 reductions cosine_similarity nearest_neighbors
What is the Vertex Cover problem?	Given a graph \[G=(V,E),\] find a minimum subset \[V' \subseteq V\] such that every edge has at least one endpoint in \(V'\). Formally, for every edge \((u,v)\in E\), \[u\in V' \quad \text{or} \quad v\in V'.\]	cs630 reductions vertex_cover definitions
What does it mean for an edge to be covered in Vertex Cover?	An edge \((u,v)\) is covered by a vertex set \(V'\) if at least one endpoint is in \(V'\). That is, \[u\in V' \quad \text{or} \quad v\in V'.\]	cs630 reductions vertex_cover definitions
What is the Set Cover problem?	Given a universe \[U=\{u_1,u_2,\dots,u_n\}\] and subsets \[S_1,S_2,\dots,S_m \subseteq U,\] find a minimum number of subsets whose union contains every element of \(U\).	cs630 reductions set_cover definitions
What does it mean for a collection of sets to cover a universe?	A collection of sets covers a universe \(U\) if every element of \(U\) appears in at least one chosen set. Formally, chosen sets \(S_{i_1},\dots,S_{i_k}\) cover \(U\) if \[U \subseteq S_{i_1}\cup S_{i_2}\cup \cdots \cup S_{i_k}.\]	cs630 reductions set_cover definitions
How can Vertex Cover be reduced to Set Cover?	Given a graph \(G=(V,E)\), construct a Set Cover instance as follows:<br><ul><li>Each edge in \(E\) becomes an item in the universe \(U\).</li><li>Each vertex \(v\in V\) becomes a set \(S_v\).</li><li>\(S_v\) contains exactly the edges incident to \(v\).</li></ul>Then selecting sets corresponds to selecting vertices.	cs630 reductions vertex_cover set_cover
In the reduction \(\textsc{Vertex Cover} \le_P \textsc{Set Cover}\), what are the items?	The items in the Set Cover universe correspond to the edges of the original graph. Thus, \[U=E.\]	cs630 reductions vertex_cover set_cover
In the reduction \(\textsc{Vertex Cover} \le_P \textsc{Set Cover}\), what are the sets?	Each vertex \(v\in V\) corresponds to a set \(S_v\). The set \(S_v\) contains all edges incident to \(v\).	cs630 reductions vertex_cover set_cover
Why does the Vertex Cover to Set Cover reduction work?	Choosing a set \(S_v\) in the Set Cover instance corresponds to choosing vertex \(v\) in the Vertex Cover instance. Covering all items in Set Cover means covering all edges in the graph. Therefore, a set cover corresponds exactly to a vertex cover.	cs630 reductions vertex_cover set_cover correctness
What is the relationship between picking a Set Cover set and picking a Vertex Cover vertex in the reduction?	In the reduction \[\textsc{Vertex Cover} \le_P \textsc{Set Cover},\] we have the correspondence \[\text{picking set } S_v \Longleftrightarrow \text{picking vertex } v.\]	cs630 reductions vertex_cover set_cover
What is the relationship between covered Set Cover items and covered Vertex Cover edges?	In the reduction \[\textsc{Vertex Cover} \le_P \textsc{Set Cover},\] items are edges. Therefore, \[\text{covered Set Cover items} \Longleftrightarrow \text{covered graph edges}.\]	cs630 reductions vertex_cover set_cover
What is the general intuition behind reductions?	A reduction shows how to solve one problem using a solver for another problem. The key idea is: \[\text{If I can solve }Y,\text{ then I can solve }X.\] This is written as \[X \le_P Y.\]	cs630 reductions intuition
If \(X \le_P Y\) and \(Y\) has a polynomial-time algorithm, what can we conclude?	If \[X \le_P Y\] and \(Y\) can be solved in polynomial time, then \(X\) can also be solved in polynomial time.	cs630 reductions implications
If \(X \le_P Y\), which problem is considered at least as hard?	If \[X \le_P Y,\] then \(Y\) is at least as hard as \(X\), because an efficient solver for \(Y\) would give an efficient solver for \(X\).	cs630 reductions implications
Why does the direction of a reduction matter?	The direction matters because \[X \le_P Y\] means we use a solver for \(Y\) to solve \(X\), not the other way around. The problem on the right side is the black-box problem.	cs630 reductions notation
